crop,temperature,rainfall,humidity,soil_type,season,yield
Mango,26,1000,60,sandy,kharif,3.7
Mango,34,2000,75,loamy,whole_year,5.0
Mango,28,1300,66,sandy,kharif,4.1
Mango,31,1700,71,loamy,whole_year,4.6
Mango,27,1100,63,sandy,kharif,3.9
Mango,33,1900,74,loamy,whole_year,4.8
Mango,29,1400,68,sandy,kharif,4.3
Mango,35,2200,77,loamy,whole_year,5.2
Mango,26,1050,61,sandy,kharif,3.8
Mango,32,1750,72,loamy,whole_year,4.7
Mango,30,1550,70,sandy,kharif,4.4
Mango,28,1250,65,loamy,whole_year,4.1
Papaya,28,1200,68,loamy,whole_year,18.0
Papaya,30,1500,72,sandy,whole_year,20.0
Papaya,32,1800,75,loamy,kharif,21.5
Papaya,26,1000,64,sandy,whole_year,16.5
Papaya,34,2000,78,loamy,whole_year,23.0
Papaya,28,1300,69,sandy,kharif,18.5
Papaya,31,1700,73,loamy,whole_year,20.5
Papaya,27,1100,65,sandy,kharif,17.0
Papaya,33,1900,76,loamy,whole_year,22.0
Papaya,29,1400,70,sandy,whole_year,19.0
Papaya,35,2100,79,loamy,kharif,24.0
Papaya,26,1050,63,sandy,whole_year,16.5
Papaya,30,1550,71,loamy,whole_year,20.0
Papaya,32,1850,75,sandy,kharif,21.5
Papaya,28,1250,68,loamy,whole_year,18.5
Watermelon,30,500,42,sandy,zaid,14.0
Watermelon,33,600,46,loamy,zaid,16.0
Watermelon,35,450,40,sandy,kharif,13.5
Watermelon,28,550,44,loamy,zaid,15.0
Watermelon,38,400,38,sandy,kharif,12.5
Watermelon,32,620,47,loamy,zaid,16.5
Watermelon,30,520,42,sandy,kharif,14.0
Watermelon,34,580,45,loamy,zaid,15.5
Watermelon,36,430,39,sandy,kharif,13.0
Watermelon,29,560,44,loamy,zaid,14.5
Watermelon,37,410,38,sandy,kharif,12.8
Watermelon,31,600,46,loamy,zaid,15.8
Watermelon,33,480,41,sandy,kharif,14.0
Watermelon,35,570,44,loamy,zaid,15.2
Watermelon,28,530,42,sandy,kharif,13.8
Tea,20,1800,78,loamy,whole_year,2.2
Tea,22,2000,80,silty,whole_year,2.4
Tea,18,1600,75,loamy,kharif,2.0
Tea,25,2200,82,silty,whole_year,2.6
Tea,20,1900,79,loamy,whole_year,2.3
Tea,23,2100,81,silty,kharif,2.5
Tea,18,1700,76,loamy,whole_year,2.1
Tea,26,2400,84,silty,whole_year,2.7
Tea,21,1850,78,loamy,kharif,2.3
Tea,24,2150,82,silty,whole_year,2.5
Tea,19,1750,77,loamy,whole_year,2.2
Tea,27,2500,85,silty,kharif,2.8
Tea,20,1920,79,loamy,whole_year,2.3
Tea,22,2080,81,silty,whole_year,2.5
Tea,21,1980,80,loamy,kharif,2.4
Coffee,22,1500,72,loamy,whole_year,1.5
Coffee,24,1800,75,silty,whole_year,1.7
Coffee,20,1300,68,loamy,kharif,1.4
Coffee,26,2000,78,silty,whole_year,1.8
Coffee,22,1600,73,loamy,whole_year,1.6
Coffee,25,1900,76,silty,kharif,1.7
Coffee,20,1400,70,loamy,whole_year,1.5
Coffee,27,2100,79,silty,whole_year,1.9
Coffee,23,1650,74,loamy,kharif,1.6
Coffee,25,1950,77,silty,whole_year,1.8
Coffee,21,1450,71,loamy,whole_year,1.5
Coffee,28,2200,80,silty,kharif,2.0
Coffee,22,1700,74,loamy,whole_year,1.6
Coffee,24,1850,76,silty,whole_year,1.7
Coffee,23,1750,75,loamy,kharif,1.6
