crop,temperature,rainfall,humidity,soil_type,season,yield
Maize,30,1020,69,clay,kharif,4.2
Cotton,28,700,50,loamy,kharif,2.5
Cotton,32,900,55,clay,kharif,2.8
Cotton,30,800,48,sandy,kharif,2.6
Cotton,35,1000,60,loamy,whole_year,3.0
Cotton,27,650,45,clay,kharif,2.3
Cotton,33,950,57,sandy,kharif,2.9
Cotton,29,750,52,loamy,kharif,2.7
Cotton,31,850,53,clay,whole_year,2.8
Cotton,36,1050,62,sandy,kharif,3.1
Cotton,27,680,47,loamy,kharif,2.4
Cotton,34,980,58,clay,kharif,2.9
Cotton,30,820,51,sandy,whole_year,2.7
Cotton,28,730,49,loamy,kharif,2.5
Cotton,32,910,56,clay,kharif,2.8
Cotton,26,630,44,sandy,kharif,2.2
Sugarcane,28,1500,65,loamy,whole_year,5.5
Sugarcane,30,2000,70,clay,kharif,6.0
Sugarcane,32,1800,72,silty,whole_year,5.8
Sugarcane,27,1300,62,loamy,kharif,5.2
Sugarcane,33,2200,75,clay,whole_year,6.2
Sugarcane,29,1600,68,silty,kharif,5.6
Sugarcane,31,1900,73,loamy,whole_year,6.0
Sugarcane,26,1200,60,clay,kharif,5.0
Sugarcane,34,2400,78,silty,whole_year,6.4
Sugarcane,28,1450,64,loamy,kharif,5.4
Sugarcane,32,2100,74,clay,whole_year,6.1
Sugarcane,30,1700,69,silty,kharif,5.7
Sugarcane,27,1350,63,loamy,whole_year,5.3
Sugarcane,33,2300,76,clay,kharif,6.3
Sugarcane,29,1550,67,silty,whole_year,5.6
Soybean,25,800,55,loamy,kharif,2.8
Soybean,28,1000,60,clay,kharif,3.0
Soybean,22,700,52,silty,kharif,2.6
Soybean,30,1100,65,loamy,whole_year,3.2
Soybean,24,850,57,clay,kharif,2.9
Soybean,27,950,62,silty,kharif,3.0
Soybean,26,900,59,loamy,whole_year,3.1
Soybean,23,750,54,clay,kharif,2.7
Soybean,31,1150,66,silty,kharif,3.3
Soybean,25,820,56,loamy,kharif,2.8
Soybean,29,1020,63,clay,whole_year,3.1
Soybean,24,870,58,silty,kharif,2.9
Soybean,27,970,62,loamy,kharif,3.0
Soybean,22,710,52,clay,kharif,2.6
Soybean,30,1080,64,silty,whole_year,3.2
Groundnut,28,700,50,sandy,kharif,2.2
Groundnut,30,900,55,loamy,kharif,2.5
Groundnut,32,1000,58,sandy,rabi,2.3
Groundnut,26,600,46,loamy,zaid,2.0
Groundnut,29,800,52,sandy,kharif,2.3
Groundnut,31,950,56,loamy,rabi,2.6
Groundnut,27,750,48,sandy,kharif,2.1
Groundnut,33,1050,60,loamy,zaid,2.7
Groundnut,28,820,51,sandy,kharif,2.2
Groundnut,30,920,54,loamy,rabi,2.5
Groundnut,34,1100,62,sandy,kharif,2.8
Groundnut,26,620,47,loamy,kharif,2.0
Groundnut,29,850,53,sandy,zaid,2.3
Groundnut,32,1000,57,loamy,kharif,2.6
Groundnut,27,720,49,sandy,rabi,2.1
Millet,32,400,35,sandy,kharif,2.0
Millet,35,500,38,loamy,kharif,2.2
Millet,38,350,32,sandy,zaid,1.9
Millet,30,450,36,loamy,kharif,2.1
Millet,40,300,30,sandy,kharif,1.8
Millet,36,550,40,loamy,zaid,2.3
Millet,33,420,34,sandy,kharif,2.0
Millet,37,380,33,loamy,kharif,2.1
Millet,39,320,31,sandy,kharif,1.8
Millet,34,480,37,loamy,zaid,2.2
Millet,41,280,29,sandy,kharif,1.7
Millet,32,460,36,loamy,kharif,2.1
Millet,36,410,33,sandy,zaid,1.9
Millet,38,360,32,loamy,kharif,2.0
Millet,35,440,35,sandy,kharif,2.0
Potato,14,600,60,loamy,rabi,6.0
Potato,12,500,55,sandy,rabi,5.5
Potato,16,700,65,silty,rabi,6.3
Potato,10,450,52,loamy,rabi,5.2
Potato,15,650,62,sandy,rabi,5.9
Potato,18,750,68,silty,rabi,6.5
Potato,13,550,58,loamy,rabi,5.7
Potato,11,480,53,sandy,rabi,5.3
Potato,16,680,63,silty,rabi,6.2
Potato,14,620,60,loamy,rabi,5.9
Potato,12,520,56,sandy,rabi,5.5
Potato,17,720,66,silty,rabi,6.4
Potato,10,460,51,loamy,rabi,5.1
Potato,15,660,63,sandy,rabi,5.9
Potato,13,580,59,silty,rabi,5.7
Tomato,22,600,55,loamy,rabi,7.5
Tomato,25,700,60,sandy,rabi,7.8
Tomato,28,800,65,silty,zaid,8.0
Tomato,20,550,52,loamy,whole_year,7.2
Tomato,24,650,58,sandy,rabi,7.6
Tomato,27,750,63,silty,zaid,7.9
Tomato,21,580,54,loamy,rabi,7.3
Tomato,26,720,61,sandy,whole_year,7.7
Tomato,23,620,56,silty,rabi,7.5
Tomato,29,850,66,loamy,zaid,8.1
Tomato,20,560,52,sandy,rabi,7.2
Tomato,26,740,62,silty,whole_year,7.8
Tomato,22,600,55,loamy,zaid,7.5
Tomato,24,670,59,sandy,rabi,7.6
Tomato,27,770,64,silty,rabi,7.9
Banana,28,1500,70,loamy,whole_year,8.0
Banana,30,2000,75,clay,kharif,8.5
Banana,32,1800,72,silty,whole_year,8.2
Banana,27,1300,65,loamy,kharif,7.8
Banana,33,2200,78,clay,whole_year,8.7
Banana,29,1600,73,silty,kharif,8.1
Banana,31,1900,76,loamy,whole_year,8.4
Banana,26,1200,63,clay,kharif,7.6
Banana,34,2400,80,silty,whole_year,8.8
Banana,28,1450,69,loamy,kharif,8.0
Banana,32,2100,77,clay,whole_year,8.5
Banana,29,1650,74,silty,kharif,8.2
Banana,27,1350,66,loamy,whole_year,7.8
Banana,33,2300,79,clay,kharif,8.7
Banana,31,1850,75,silty,whole_year,8.4
Chickpea,16,400,35,loamy,rabi,2.0
Chickpea,14,350,32,sandy,rabi,1.8
Chickpea,18,500,38,chalky,rabi,2.2
Chickpea,12,300,30,loamy,rabi,1.7
Chickpea,20,550,40,sandy,rabi,2.3
Chickpea,15,420,34,chalky,rabi,2.0
Chickpea,17,460,36,loamy,rabi,2.1
Chickpea,13,320,31,sandy,rabi,1.8
Chickpea,19,520,39,chalky,rabi,2.2
Chickpea,15,390,33,loamy,rabi,1.9
Chickpea,16,440,35,sandy,rabi,2.0
Chickpea,14,360,32,chalky,rabi,1.8
Chickpea,18,490,37,loamy,rabi,2.2
Chickpea,13,330,31,sandy,rabi,1.8
Chickpea,20,560,41,chalky,rabi,2.3
Sunflower,24,600,40,loamy,kharif,2.4
Sunflower,28,700,45,sandy,rabi,2.6
Sunflower,30,800,50,silty,zaid,2.7
Sunflower,22,550,38,loamy,kharif,2.2
Sunflower,26,650,42,sandy,whole_year,2.5
Sunflower,32,850,52,silty,rabi,2.8
Sunflower,25,620,41,loamy,zaid,2.4
Sunflower,29,750,48,sandy,kharif,2.6
Sunflower,23,580,39,silty,kharif,2.3
Sunflower,31,820,51,loamy,rabi,2.8
Sunflower,24,610,40,sandy,zaid,2.4
Sunflower,27,680,44,silty,whole_year,2.6
Sunflower,25,640,42,loamy,kharif,2.5
Sunflower,30,790,49,sandy,rabi,2.7
Sunflower,22,560,38,silty,zaid,2.2
Barley,16,450,38,loamy,rabi,3.0
Barley,14,400,35,clay,rabi,2.8
Barley,18,550,42,sandy,rabi,3.2
Barley,12,350,32,chalky,rabi,2.6
Barley,20,600,45,loamy,rabi,3.4
Barley,15,430,36,clay,rabi,2.9
Barley,17,480,40,sandy,rabi,3.1
Barley,13,380,33,chalky,rabi,2.7
Barley,19,530,43,loamy,rabi,3.2
Barley,16,440,37,clay,rabi,3.0
Barley,21,620,46,sandy,rabi,3.4
Barley,14,390,34,chalky,rabi,2.8
Barley,18,510,41,loamy,rabi,3.2
Barley,12,360,32,clay,rabi,2.7
Barley,20,580,44,sandy,rabi,3.3
Turmeric,26,1500,65,loamy,kharif,3.5
Turmeric,28,1800,70,clay,kharif,3.8
Turmeric,30,2000,72,silty,whole_year,4.0
Turmeric,24,1300,62,loamy,whole_year,3.3
Turmeric,32,2200,75,clay,kharif,4.1
Turmeric,27,1600,68,silty,kharif,3.6
Turmeric,29,1900,71,loamy,whole_year,3.9
Turmeric,25,1400,64,clay,kharif,3.4
Turmeric,31,2050,73,silty,whole_year,4.0
Turmeric,28,1700,69,loamy,kharif,3.7
Turmeric,26,1550,66,clay,whole_year,3.5
Turmeric,30,2100,74,silty,kharif,4.1
Turmeric,27,1620,68,loamy,whole_year,3.6
Turmeric,29,1950,72,clay,kharif,3.9
Turmeric,25,1450,65,silty,whole_year,3.4
Coconut,28,1800,70,loamy,whole_year,4.5
Coconut,30,2200,75,sandy,whole_year,4.8
Coconut,32,2500,78,loamy,whole_year,5.0
Coconut,26,1600,65,sandy,whole_year,4.3
Coconut,33,2800,80,loamy,whole_year,5.2
Coconut,29,2000,73,sandy,whole_year,4.7
Coconut,31,2400,77,loamy,whole_year,4.9
Coconut,27,1700,67,sandy,whole_year,4.4
Coconut,34,2900,82,loamy,whole_year,5.3
Coconut,28,1850,71,sandy,whole_year,4.6
Coconut,32,2600,79,loamy,whole_year,5.0
Coconut,30,2100,74,sandy,whole_year,4.7
Coconut,27,1650,66,loamy,whole_year,4.4
Coconut,33,2700,81,sandy,whole_year,5.2
Coconut,29,2050,73,loamy,whole_year,4.7
