crop,temperature,rainfall,humidity,soil_type,season,yield
Soybean,27,950,62,silty,kharif,3.0
Soybean,26,900,59,loamy,whole_year,3.1
Soybean,23,750,54,clay,kharif,2.7
Groundnut,28,700,50,sandy,kharif,2.2
Groundnut,30,900,55,loamy,kharif,2.5
Groundnut,32,1000,58,sandy,rabi,2.3
Groundnut,26,600,46,loamy,zaid,2.0
Groundnut,29,800,52,sandy,kharif,2.3
Groundnut,31,950,56,loamy,rabi,2.6
Groundnut,27,750,48,sandy,kharif,2.1
Groundnut,33,1050,60,loamy,zaid,2.7
Millet,32,400,35,sandy,kharif,2.0
Millet,35,500,38,loamy,kharif,2.2
Millet,38,350,32,sandy,zaid,1.9
Millet,30,450,36,loamy,kharif,2.1
Millet,40,300,30,sandy,kharif,1.8
Millet,36,550,40,loamy,zaid,2.3
Millet,33,420,34,sandy,kharif,2.0
Millet,37,380,33,loamy,kharif,2.1
Potato,14,600,60,loamy,rabi,6.0
Potato,12,500,55,sandy,rabi,5.5
Potato,16,700,65,silty,rabi,6.3
Potato,10,450,52,loamy,rabi,5.2
Potato,15,650,62,sandy,rabi,5.9
Potato,18,750,68,silty,rabi,6.5
Potato,13,550,58,loamy,rabi,5.7
Potato,11,480,53,sandy,rabi,5.3
Tomato,22,600,55,loamy,rabi,7.5
Tomato,25,700,60,sandy,rabi,7.8
Tomato,28,800,65,silty,zaid,8.0
Tomato,20,550,52,loamy,whole_year,7.2
Tomato,24,650,58,sandy,rabi,7.6
Tomato,27,750,63,silty,zaid,7.9
Tomato,21,580,54,loamy,rabi,7.3
Tomato,26,720,61,sandy,whole_year,7.7
Banana,28,1500,70,loamy,whole_year,8.0
Banana,30,2000,75,clay,kharif,8.5
Banana,32,1800,72,silty,whole_year,8.2
Banana,27,1300,65,loamy,kharif,7.8
Banana,33,2200,78,clay,whole_year,8.7
Banana,29,1600,73,silty,kharif,8.1
Banana,31,1900,76,loamy,whole_year,8.4
Banana,26,1200,63,clay,kharif,7.6
Chickpea,16,400,35,loamy,rabi,2.0
Chickpea,14,350,32,sandy,rabi,1.8
Chickpea,18,500,38,chalky,rabi,2.2
Chickpea,12,300,30,loamy,rabi,1.7
Chickpea,20,550,40,sandy,rabi,2.3
Chickpea,15,420,34,chalky,rabi,2.0
Chickpea,17,460,36,loamy,rabi,2.1
Chickpea,13,320,31,sandy,rabi,1.8
Sunflower,24,600,40,loamy,kharif,2.4
Sunflower,28,700,45,sandy,rabi,2.6
Sunflower,30,800,50,silty,zaid,2.7
Sunflower,22,550,38,loamy,kharif,2.2
Sunflower,26,650,42,sandy,whole_year,2.5
Sunflower,32,850,52,silty,rabi,2.8
Sunflower,25,620,41,loamy,zaid,2.4
Sunflower,29,750,48,sandy,kharif,2.6
Barley,16,450,38,loamy,rabi,3.0
Barley,14,400,35,clay,rabi,2.8
Barley,18,550,42,sandy,rabi,3.2
Barley,12,350,32,chalky,rabi,2.6
Barley,20,600,45,loamy,rabi,3.4
Barley,15,430,36,clay,rabi,2.9
Barley,17,480,40,sandy,rabi,3.1
Barley,13,380,33,chalky,rabi,2.7
Turmeric,26,1500,65,loamy,kharif,3.5
Turmeric,28,1800,70,clay,kharif,3.8
Turmeric,30,2000,72,silty,whole_year,4.0
Turmeric,24,1300,62,loamy,whole_year,3.3
Turmeric,32,2200,75,clay,kharif,4.1
Turmeric,27,1600,68,silty,kharif,3.6
Turmeric,29,1900,71,loamy,whole_year,3.9
Turmeric,25,1400,64,clay,kharif,3.4
Coconut,28,1800,70,loamy,whole_year,4.5
Coconut,30,2200,75,sandy,whole_year,4.8
Coconut,32,2500,78,loamy,whole_year,5.0
Coconut,26,1600,65,sandy,whole_year,4.3
Coconut,33,2800,80,loamy,whole_year,5.2
Coconut,29,2000,73,sandy,whole_year,4.7
Coconut,31,2400,77,loamy,whole_year,4.9
Coconut,27,1700,67,sandy,whole_year,4.4
